DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
RIBOFLAVIN__45__SYN__45__RXN	['RIBOFLAVIN__45__SYN__45__RXN']
PROPIONATE__45__COA__45__TRANSFERASE__45__RXN	[]
_2__46__1__46__1__46__133__45__RXN	['_2__46__1__46__1__46__133__45__RXN']
GLUTAMINE__45____45__TRNA__45__LIGASE__45__RXN	['GLUTAMINE__45____45__TRNA__45__LIGASE__45__RXN']
GALPMUT__45__RXN	['GALPMUT__45__RXN']
PHOSPHOGLUCMUT__45__RXN	['PHOSPHOGLUCMUT__45__RXN']
RXN__45__17473	['RXN__45__17473']
RXN0__45__6948	['RXN0__45__6948']
RXN__45__17475	[]
RXN0__45__5057	[]
RXN__45__14256	['RXN__45__14256']
RXN0__45__901	['RXN0__45__901']
QUINOPRIBOTRANS__45__RXN	['QUINOPRIBOTRANS__45__RXN']
XANTHOSINEPHOSPHORY__45__RXN	['XANTHOSINEPHOSPHORY__45__RXN']
AMINOCYL__45__TRNA__45__HYDROLASE__45__RXN	['AMINOCYL__45__TRNA__45__HYDROLASE__45__RXN']
GABATRANSAM__45__RXN	[]
BRANCHED__45__CHAINAMINOTRANSFERVAL__45__RXN	['BRANCHED__45__CHAINAMINOTRANSFERVAL__45__RXN']
ACONITATEHYDR__45__RXN	['ACONITATEHYDR__45__RXN']
RXN66__45__1	['RXN66__45__1']
PYRIMSYN3__45__RXN	['PYRIMSYN3__45__RXN']
RXN__45__17878	[]
RXN__45__17874	[]
RXN__45__17875	[]
RXN__45__17876	[]
RXN__45__17877	[]
_2__46__1__46__1__46__72__45__RXN	[]
RXN__45__17873	[]
RXN__45__9539	['RXN__45__9539']
ARGSUCCINSYN__45__RXN	['ARGSUCCINSYN__45__RXN']
PGLUCISOM__45__RXN	['PGLUCISOM__45__RXN']
_5__45__OXOPROLINASE__45__ATP__45__HYDROLYSING__45__RXN	['_5__45__OXOPROLINASE__45__ATP__45__HYDROLYSING__45__RXN']
RXN__45__9533	['RXN__45__9533']
