Sfu2014_1_PWYTools.xml: 1436 Species	Sfu2017_1_PWYTools.xml: 1480 Species

CPD__45__13711_c	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate
CPD__45__13754_c	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA
OLEATE__45__CPD_CCO__45__OUT	oleate
CPD__45__569_c	N-acetylputrescine
LINOLEIC_ACID_c	linoleate
CPD__45__18_c	linoleoyl-CoA
CPD__45__13689_c	(25S)-3-oxocholest-4-en-26-oate
CPD__45__9247_CCO__45__OUT	cis-vaccenate
CDP__45__36__45__DIDEOXY__45__D__45__MANNOSE_c	CDP-alpha-D-paratose
CPD__45__9698_c	CDP-alpha-D-tyvelose
CPD0__45__2467_c	3-hydroxy-5-phosphooxypentane-2,4-dione
D__45__aminoacyl__45__tRNAs_c	a D-aminoacyl-[tRNA]
D__45__Amino__45__Acids_c	a D-amino acid
TRANS__45__2__45__HEXENOL_c	(E)-2-hexenol
BIS__45__GERANYLGERANYLGLYCEROL__45__PHOSPHATE_c	2,3-bis-O-(geranylgeranyl)-sn-glycerol 1-phosphate
CPD__45__10740_c	unsaturated CDP-archaeol
Odd__45__Saturated__45__Fatty__45__Acyl__45__CoA_c	an odd numbered straight chain 2,3,4-saturated fatty acyl CoA
_3__45__Methyl__45__Saturated__45__Fatty__45__Acids_c	a 3-methyl-branched 2,3,4-saturated fatty acid
_3__45__Methyl__45__Saturated__45__Fatty__45__Acyl__45__CoA_c	a 3-methyl-branched 2,3,4-saturated fatty acyl-CoA
_2__45__Prime__45__Phosphate__45__Terminated__45__RNAs_c	an RNA 2'-terminal-phosphate
CPD__45__13043_c	7-carboxy-7-deazaguanine
_7__45__CYANO__45__7__45__DEAZAGUANINE_c	preQ0
Reduced__45__NapC__45__proteins_c	a reduced [NapC protein]
Oxidized__45__NapC__45__proteins_c	an oxidized [NapC protein]
Reduced__45__CycA1__45__cytochromes_c	a reduced CycA1 cytochrome
Oxidized__45__CycA1__45__cytochromes_c	an oxidized CycA1 cytochrome
Reduced__45__cytochromes__45__C4_c	a reduced cytochrome c4
Oxidized__45__cytochromes__45__C4_c	an oxidized cytochrome c4
DIHYDROXYACETONE_c	dihydroxyacetone
_23S__45__rRNA__45__adenine__45__2503_c	adenine2503 in 23S rRNA
_23S__45__rRNA__45__2__45__methyladenine2503_c	a 2-methyladenine2503 in 23S rRNA
a__45__2__45__oxoglutarate__45__dehydrogenase__45__E2__45__protei_c	a [2-oxoglutarate-dehydrogenase E2 protein] N6-octanoyl-L-lysine
a__45__pyruvate__45__dehydrogenase__45__E2__45__protein__45__Nsup_c	a [pyruvate dehydrogenase E2 protein] N6-octanoyl-L-lysine
CPD__45__17926_c	a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide
CPD__45__17968_c	a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate) tripeptide
L__45__ALA__45__GAMMA__45__D__45__GLU__45__DAP_c	L-alanyl-gamma-D-glutamyl-meso-diaminopimelate
UDP__45__MURNAC__45__TETRAPEPTIDE_c	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine
CPD__45__13359_c	N-acetyl-D-glucosaminyl-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanine
CPD__45__13360_c	N-acetyl-D-glucosaminyl-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysine
Proteins__45__L__45__Threonines_c	a [protein]-L-threonine
Protein__45__flavinated__45__threonines_c	a [protein]-FMN-L-threonine
CPD__45__15435_c	L-threonylcarbamoyladenylate
CPD0__45__181_c	N5-carboxyaminoimidazole ribonucleotide
Reduced__45__adrenal__45__ferredoxins_c	a reduced  adrenodoxin
Oxidized__45__adrenal__45__ferredoxins_c	an oxidized adrenodoxin
DEOXYCYTIDINE_c	2'-deoxycytidine
DEOXYURIDINE_c	2'-deoxyuridine
CPD__45__644_c	L-threo-3-phenylserine
ISOCHORISMATE_c	isochorismate
DIHYDRO__45__DIOH__45__BENZOATE_c	(2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate
D__45__6__45__P__45__GLUCONO__45__DELTA__45__LACTONE_c	6-phospho D-glucono-1,5-lactone
CPD__45__2961_c	D-gluconate 6-phosphate
CPD__45__3707_c	adenosine 2',3'-cyclic monophosphate
CPD__45__3713_c	cytidine 2',3'-cyclic monophosphate
CPD__45__3725_c	uridine 2'3'-cyclic monophosphate
CPD__45__3709_c	guanosine 2',3'-cyclic monophosphate
